run_id,commit_sha,job_name,step_name,step_duration_s,conclusion
26967836547,5a11dbe,metrics,Post Checkout,1.0,success
26967836547,5a11dbe,metrics,Complete job,0.0,success
26967135421,dbc72d6,lint,Set up job,1.0,success
26967135421,dbc72d6,lint,Checkout,1.0,success
26967135421,dbc72d6,lint,Setup Python 3.12,0.0,success
26967135421,dbc72d6,lint,Cache pip,1.0,success
26967135421,dbc72d6,lint,Install dependencies,16.0,success
26967135421,dbc72d6,lint,Run flake8,1.0,success
26967135421,dbc72d6,lint,Post Cache pip,2.0,success
26967135421,dbc72d6,lint,Post Setup Python 3.12,0.0,success
26967135421,dbc72d6,lint,Post Checkout,0.0,success
26967135421,dbc72d6,lint,Complete job,0.0,success
26967135421,dbc72d6,test,Set up job,1.0,success
26967135421,dbc72d6,test,Checkout,1.0,success
26967135421,dbc72d6,test,Setup Python 3.12,0.0,success
26967135421,dbc72d6,test,Cache pip,2.0,success
26967135421,dbc72d6,test,Install dependencies,12.0,success
26967135421,dbc72d6,test,Run pytest,0.0,success
26967135421,dbc72d6,test,Upload test results,1.0,success
26967135421,dbc72d6,test,Post Cache pip,0.0,success
26967135421,dbc72d6,test,Post Setup Python 3.12,0.0,success
26967135421,dbc72d6,test,Post Checkout,1.0,success
26967135421,dbc72d6,test,Complete job,0.0,success
26967135421,dbc72d6,metrics,Set up job,2.0,success
26967135421,dbc72d6,metrics,Checkout,1.0,success
26967135421,dbc72d6,metrics,Setup Python 3.12,0.0,success
26967135421,dbc72d6,metrics,Install requests,4.0,success
26967135421,dbc72d6,metrics,Download test results,1.0,success
26967135421,dbc72d6,metrics,Snapshot metrics,0.0,success
26967135421,dbc72d6,metrics,Upload metrics snapshot,1.0,success
26967135421,dbc72d6,metrics,Post Setup Python 3.12,0.0,success
26967135421,dbc72d6,metrics,Post Checkout,0.0,success
26967135421,dbc72d6,metrics,Complete job,0.0,success
